// race-specific variables (must start with _)
_empire                           | Bulrathi Empire, Bearathi Empire, Ursinathi Empire, Pawrathi Empire, Grizzlathi Empire
_race                             | Bulrathi, Bearathi, Ursinathi, Pawrathi, Grizzlathi
_race_plural                      | Bulrathis, Bearathis, Ursinathis, Pawrathis, Grizzlathis
_title                            | Emperor
_nameTitle                        | Emperor


GOVT_EMPIRE                       | %1 Empire

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Advisor
MAIN_ADVISOR_BUTTON_OK            | Dismiss
MAIN_ADVISOR_SCOUT                | Emperor, we've prepared both scouts and a colony ship for departure. We'll begin exploring and colonizing a nearby system at your command.
MAIN_ADVISOR_TRANSPORT            | The world of %1, added to our empire! Give the order and we shall begin sending transports immediately!
MAIN_ADVISOR_DIPLOMACY            | An alien race has made contact with our empire, Emperor. Whether we treat them as friend or foe is a decision solely left to your discretion.
MAIN_ADVISOR_SHIP_ENGINE          | Our scientists continue to push the limits of technology, this time by improving the speed of our engines. They await your decision on updated ship designs.
MAIN_ADVISOR_RALLY_POINTS         | A glorious battle is upon us! Direct our newly crafted ships with Rally Points to assemble our fleets wherever you desire.
MAIN_ADVISOR_MISSILE_BASES        | Our colonies await your word, Emperor, to begin the construction of missile bases to aid in their defense against enemy attacks.
MAIN_ADVISOR_SHIP_WEAPON          | Our researchers have conceived devastating new weaponry for our fleets! Revisit our ship designs at your leisure, Emperor, to decide how our enemies will fall before our overwhelming might.
MAIN_ADVISOR_COUNCIL              | Representatives for the first Galactic Council will soon gather, Emperor. Our diplomats shall follow your direction to ensure the decisions of the council align with your will. 
MAIN_ADVISOR_REBELLION            | It would seem the people of %1 have decided to defy you openly, Emperor. It’s time to remind them why you are the one chosen to lead the Empire!
MAIN_ADVISOR_RESIST_COUNCIL       | Only you may sit on the throne of the galaxy! We will not quash our bloodlust until you take your rightful place, Emperor!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ha ha! I wonder what it's like to be so foolish as to stand against our rule. No matter, these tiny rebels will be crushed beneath our heel!
