// race-specific variables (must start with _)
_empire                    | Silicoid Empire, Igneoid Empire, Sedimoid Empire, Granitoid Empire, Magmoid Empire
_race                      | Silicoid, Igneoid, Sedimoid, Granitoid, Magmoid
_race_plural               | Silicoids, Igneoids, Sedimoids, Granitoids, Magmoids
_title                     | Emperor
_nameTitle                 | Emperor 

GOVT_EMPIRE                | %1 Empire

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Advisor
MAIN_ADVISOR_BUTTON_OK     | Dismiss
MAIN_ADVISOR_SCOUT         | Emperor, your scouts stand prepared to escort the first colony ship to any world you desire! Give the order and see your will be done!
MAIN_ADVISOR_TRANSPORT     | The colony on %1 has been founded in your name, mighty Emperor! If you desire us to send more transports to support your new dominion, say the word and we shall comply!
MAIN_ADVISOR_DIPLOMACY     | Emperor! A representative from an alien empire appears before the throne! We shall proceed with all due caution!
MAIN_ADVISOR_SHIP_ENGINE   | Your scientists have perfected new ship engine designs! They shall modify your fleets as soon as you deign for them to do so!
MAIN_ADVISOR_RALLY_POINTS  | A war begins, Emperor! Command your fleets to rally at any world that you control and they shall bring swift death to our foe!
MAIN_ADVISOR_MISSILE_BASES | Your generals believe that building defensive missile bases on our most vulnerable colonies would be a prudent venture! If you concur, Emperor, construction shall immediately begin!
MAIN_ADVISOR_SHIP_WEAPON   | Emperor! Your scientists present their latest advancement in weapons technology! We shall outfit our fleets with these tools of war, if you but give your command!
MAIN_ADVISOR_COUNCIL       | A meeting of lords known as the Galactic Council will soon be upon us! Let us send an ambassador, if for nothing else than to see how inferior the leaders of the other civilization will be compared to you, mighty Emperor.
MAIN_ADVISOR_REBELLION     | Mighty Emperor! The unthinkable occurs. Our people, doubtless mind-controlled by an unknown alien power, rebelled against you on %1. We must put an end to this at once!
